,Source,Time Stamp,Tweet Text,Compound Score,Positive Score,Neutral Score,Negative Score
94,BBCWorld,Tue Jul 31 00:44:23 +0000 2018,Fast fashion: Inside the fight to end the silence on waste https://t.co/u6PCrBbNCm,-0.6597,0.0,0.649,0.351
95,BBCWorld,Tue Jul 31 00:28:38 +0000 2018,"Paul Manafort, ex-Trump campaign chief, to begin trial https://t.co/I3W0ZIkHVg",0.0,0.0,1.0,0.0
96,BBCWorld,Tue Jul 31 00:23:25 +0000 2018,Letter from Africa: How bruised is President Buhari by defections? https://t.co/hzZ9EhPvSo,-0.3612,0.0,0.8,0.2
97,BBCWorld,Tue Jul 31 00:12:41 +0000 2018,Reality Check: Will the EHIC be valid after Brexit? https://t.co/Usfpl292I6,0.0,0.0,1.0,0.0
98,BBCWorld,Tue Jul 31 00:04:09 +0000 2018,Intrepid French hunt for sunken warships Cordelière and Regent https://t.co/983c4pRhFJ,-0.128,0.0,0.857,0.143
99,BBCWorld,Mon Jul 30 21:42:28 +0000 2018,IS claims fatal Tajik attack on foreign cyclists https://t.co/7VP5WZTUBY,-0.765,0.0,0.515,0.485
100,CBSNews,Wed Aug 01 22:01:16 +0000 2018,"A caravan of ""grannies"" is traveling 2,000 miles across the U.S. to the border with Mexico to protest family separa… https://t.co/7APn7HuoXG",-0.25,0.0,0.905,0.095
101,CBSNews,Wed Aug 01 21:45:00 +0000 2018,"A U.S. appeals court says President Trump's executive order threatening to withhold funding from ""sanctuary cities""… https://t.co/HpdgKeTtFS",-0.5267,0.0,0.815,0.185
102,CBSNews,Wed Aug 01 21:30:32 +0000 2018,Flights at a Paris airport were delayed Wednesday after a brawl between two French rap stars and their entourages… https://t.co/s913CJuWlx,-0.2263,0.0,0.899,0.101
103,CBSNews,Wed Aug 01 21:14:31 +0000 2018,"Walmart, the nation's largest private employer, is facing a potential class-action lawsuit in New York for allegati… https://t.co/eHcHfzppih",-0.2263,0.0,0.894,0.106
104,CBSNews,Wed Aug 01 21:01:22 +0000 2018,WATCH: Rescuers find dog that survived wildfire by hiding inside an oven https://t.co/CxFdGiYpXo,0.2732,0.2,0.667,0.133
105,CBSNews,Wed Aug 01 20:40:39 +0000 2018,"Harrisburg Diocese identifies 71 alleged sex abusers, cites failure of bishops https://t.co/V1PnGtXIe3 https://t.co/ileL2L5gQp",-0.7845,0.0,0.615,0.385
106,CBSNews,Wed Aug 01 20:38:10 +0000 2018,"RT @CBSThisMorning: New video shows the terrifying moments after a Aeroméxico flight crashed and caught on fire in Mexico. 

Officials say…",-0.7269,0.0,0.747,0.253
107,CBSNews,Wed Aug 01 20:34:35 +0000 2018,Russian reporters working on investigation with Putin foe killed in Africa https://t.co/JdJbVPJqEF https://t.co/lDSSwXo7lY,-0.8126,0.0,0.598,0.402
108,CBSNews,Wed Aug 01 20:20:00 +0000 2018,"Former waitress anonymously sends $1,000 and apology to boss for stealing 20 years ago https://t.co/h2toIPuJaf https://t.co/ql1C55X0I9",-0.5423,0.063,0.741,0.196
109,CBSNews,Wed Aug 01 20:04:49 +0000 2018,"The dirt on the ground is making climate change worse, a new study finds https://t.co/yve75JPK1o https://t.co/SMlT6zuFXh",-0.6705,0.0,0.703,0.297
110,CBSNews,Wed Aug 01 19:49:42 +0000 2018,"Former President Barack Obama is jumping back into the political fray, endorsing dozens of Democratic candidates ru… https://t.co/5E0SnOAu3Z",0.0,0.0,1.0,0.0
111,CBSNews,Wed Aug 01 19:35:00 +0000 2018,Conspiracy theorist Alex Jones wants a Texas judge to dismiss a defamation lawsuit filed against him by families of… https://t.co/wPNRNGEj8e,-0.6486,0.0,0.751,0.249
112,CBSNews,Wed Aug 01 19:20:59 +0000 2018,WATCH: This official in Connecticut kneeled during the pledge of allegiance at a town hall meeting. Her silent prot… https://t.co/MssVAwvugW,0.0,0.0,1.0,0.0
113,CBSNews,Wed Aug 01 19:13:23 +0000 2018,"President Trump called on Attorney General Jeff Sessions in a tweet to end special counsel investigation ""right now… https://t.co/xR7wYdpijV",0.4019,0.137,0.863,0.0
114,CBSNews,Wed Aug 01 19:00:50 +0000 2018,"A Wisconsin man lost both of his legs to a virulent infection after being licked by a dog, family says… https://t.co/C0eXGpZXBr",-0.7184,0.0,0.727,0.273
115,CBSNews,Wed Aug 01 18:49:23 +0000 2018,"RT @CBSThisMorning: WATCH: Cody Wilson (@Radomysisky,) the founder of Defense Distributed who has a tombstone outside his office that says…",0.128,0.077,0.923,0.0
116,CBSNews,Wed Aug 01 18:44:31 +0000 2018,Fidelity Investments says it will soon offer a pair of mutual funds that charge zero in expenses… https://t.co/GkWw66V4Sj,0.0,0.0,1.0,0.0
